player_id,given_name,family_name,birth_date,pan_wd_id,pan_wp_id,pan_slug,pan_name,pan_occupation,match_method
P-02805,Théophile,Abega,1954-07-09,Q2168012,3145247,Théophile_Abega,Théophile Abega,SOCCER PLAYER,slug_exacto
P-85334,André,Abegglen,1909-03-07,Q465468,5965569,André_Abegglen,André Abegglen,SOCCER PLAYER,slug_exacto
P-99390,not applicable,Abel,1952-09-01,Q2311308,3138382,Abel_Braga,Abel Braga,SOCCER PLAYER,slug_exacto
P-24945,not applicable,Abelardo,1970-03-19,Q318546,5571294,Abelardo_Fernández,Abelardo Fernández,SOCCER PLAYER,slug_exacto
P-32023,Ramón,Abeledo,1937-04-29,Q537567,33279645,Ramón_Abeledo,Ramón Abeledo,SOCCER PLAYER,slug_exacto
P-00685,Anad,Abid,1955-08-03,,,,,,sin_match
P-04469,Eric,Abidal,1979-09-11,Q1935,3147441,Eric_Abidal,Eric Abidal,SOCCER PLAYER,slug_exacto
P-98382,Juan Carlos,Ablanedo,1963-09-02,Q2451439,8324248,Juan_Carlos_Ablanedo,Juan Carlos Ablanedo,SOCCER PLAYER,slug_exacto
P-22858,Attila,Abonyi,1946-08-16,Q480435,6762730,Attila_Abonyi,Attila Abonyi,SOCCER PLAYER,slug_exacto
P-53452,Vincent,Aboubakar,1992-01-22,Q116743,27543498,Vincent_Aboubakar,Vincent Aboubakar,SOCCER PLAYER,slug_exacto
P-48295,Zakaria,Aboukhlal,2000-02-18,Q56257819,59552221,Zakaria_Aboukhlal,Zakaria Aboukhlal,SOCCER PLAYER,slug_exacto
P-62807,Taher,Abouzeid,1962-04-10,Q2628951,8284149,Taher_Abouzeid,Taher Abouzeid,POLITICIAN,slug_exacto
P-04266,Henock,Abrahamsson,1909-10-29,Q686014,27894006,Henock_Abrahamsson,Henock Abrahamsson,SOCCER PLAYER,slug_exacto
P-64134,Rüdiger,Abramczik,1956-02-18,Q706719,3223442,Rüdiger_Abramczik,Rüdiger Abramczik,SOCCER PLAYER,slug_exacto
P-51300,Lahcen,Abrami,1969-12-31,Q1747011,5974034,Lahcen_Abrami,Lahcen Abrami,SOCCER PLAYER,slug_exacto
P-91786,Marco,Abreu,1974-12-08,Q659314,5181251,Marco_Abreu,Marco Abreu,SOCCER PLAYER,slug_exacto
P-64372,Sebastián,Abreu,1976-10-17,Q132056,5682061,Sebastián_Abreu,Sebastián Abreu,SOCCER PLAYER,slug_exacto
P-12036,not applicable,Acácio,1959-01-20,Q345037,6107935,Acácio_(footballer),Acácio,SOCCER PLAYER,slug_exacto
P-13103,Eusebio,Acasuzo,1952-04-08,Q2975706,8581817,Eusebio_Acasuzo,Eusebio Acasuzo,SOCCER PLAYER,slug_exacto
P-17067,Germán,Aceros,1938-09-30,,,,,,sin_match
P-75402,Danilo,Aceval,1975-09-15,Q2324568,5518390,Danilo_Aceval,Danilo Aceval,SOCCER PLAYER,slug_exacto
P-81409,David,Acevedo,1937-02-20,Q974664,33272518,David_Acevedo,David Acevedo,SOCCER PLAYER,slug_exacto
P-48167,Eduardo Mario,Acevedo,1959-09-25,Q584244,8733817,Eduardo_Acevedo,Eduardo Acevedo,SOCCER PLAYER,api_qid
P-28429,Elmer,Acevedo,1946-02-24,,,,,,sin_match
P-01989,Alberto,Achá,1917-02-18,,,,,,sin_match
P-29870,Gabriel,Achilier,1985-03-24,Q2007275,20788523,Gabriel_Achilier,Gabriel Achilier,SOCCER PLAYER,slug_exacto
P-17442,Ignacio,Achúcarro,1936-07-31,Q2057620,18797129,Ignacio_Achúcarro,Ignacio Achúcarro,SOCCER PLAYER,slug_exacto
P-67954,Jovan,Aćimović,1948-06-21,Q955442,12481144,Jovan_Aćimović,Jovan Aćimović,SOCCER PLAYER,slug_exacto
P-44943,Milenko,Ačimovič,1977-02-15,Q342406,4839494,Milenko_Ačimovič,Milenko Ačimovič,SOCCER PLAYER,slug_exacto
P-65320,Jhonny,Acosta,1983-07-21,Q3808254,32032549,Johnny_Acosta,Johnny Acosta,SOCCER PLAYER,api_qid
P-86410,Kellyn,Acosta,1995-07-24,Q15126043,40220789,Kellyn_Acosta,Kellyn Acosta,SOCCER PLAYER,slug_exacto
P-63370,Afriyie,Acquah,1992-01-05,Q2707160,30854321,Afriyie_Acquah,Afriyie Acquah,SOCCER PLAYER,slug_exacto
P-43934,Clarence,Acuña,1975-02-08,Q2603260,4298438,Clarence_Acuña,Clarence Acuña,SOCCER PLAYER,slug_exacto
P-79480,Juan,Acuña,1923-01-11,Q2715127,25198774,Juan_Acuña,Juan Acuña,SOCCER PLAYER,slug_exacto
P-73712,Marcos,Acuña,1991-10-28,Q17462635,44906268,Marcos_Acuña,Marcos Acuña,SOCCER PLAYER,slug_exacto
P-17884,Roberto,Acuña,1972-03-25,Q353234,2794592,Roberto_Acuña,Roberto Acuña,SOCCER PLAYER,slug_exacto
P-21395,Glen,Adam,1959-05-22,,,,,,sin_match
P-26945,Stere,Adamache,1941-08-17,,,,,,sin_match
P-34289,Jozef,Adamec,1942-02-26,Q529479,4431086,Jozef_Adamec,Jozef Adamec,COACH,slug_exacto
P-92795,Ferdinand,Adams,1903-05-03,Q2439167,24895239,Ferdinand_Adams,Ferdinand Adams,SOCCER PLAYER,slug_exacto
P-40630,Stephen,Adams,1989-09-28,Q10374201,27375706,Stephen_Adams_(footballer),Stephen Adams,SOCCER PLAYER,slug_exacto
P-54003,Tony,Adams,1966-10-10,Q299391,88261,Tony_Adams,Tony Adams,SOCCER PLAYER,slug_exacto
P-14151,Tyler,Adams,1999-02-14,Q19871581,46332179,Tyler_Adams,Tyler Adams,SOCCER PLAYER,slug_exacto
P-70505,Jimmy,Adamson,1929-04-04,Q2398543,2847029,Jimmy_Adamson,Jimmy Adamson,SOCCER PLAYER,slug_exacto
P-56943,not applicable,Adãozinho,1923-04-02,Q380322,5999912,Adãozinho,Adãozinho,SOCCER PLAYER,api_qid
P-77757,Eric,Addo,1978-11-12,Q353602,2538792,Eric_Addo,Eric Addo,SOCCER PLAYER,slug_exacto
P-23846,Otto,Addo,1975-06-09,Q472293,3253699,Otto_Addo,Otto Addo,SOCCER PLAYER,slug_exacto
P-56284,Lee,Addy,1985-09-26,Q349590,24633044,Lee_Addy,Lee Addy,SOCCER PLAYER,slug_exacto
P-48772,Emmanuel,Adebayor,1984-02-26,Q386876,2604793,Emmanuel_Adebayor,Emmanuel Adebayor,SOCCER PLAYER,slug_exacto
P-55821,Sam,Adekugbe,1995-01-16,Q16146319,40915517,Sam_Adekugbe,Sam Adekugbe,SOCCER PLAYER,slug_exacto
P-03894,not applicable,Adelardo,1939-09-26,Q354150,6832306,Adelardo_Rodríguez,Adelardo Rodríguez,SOCCER PLAYER,slug_exacto
P-42799,Dele,Adeleye,1988-12-25,Q349168,11409438,Dele_Adeleye,Dele Adeleye,SOCCER PLAYER,slug_exacto
P-49381,not applicable,Ademir,1922-11-08,Q332012,2838545,Ademir_de_Menezes,Ademir de Menezes,SOCCER PLAYER,api_qid
P-56969,Mutiu,Adepoju,1970-12-22,Q548554,2794439,Mutiu_Adepoju,Mutiu Adepoju,SOCCER PLAYER,slug_exacto
P-05901,Karim,Adeyemi,2002-01-18,Q56424307,58375902,Karim_Adeyemi,Karim Adeyemi,SOCCER PLAYER,slug_exacto
P-65216,Dominic,Adiyiah,1989-11-29,Q310677,19437224,Dominic_Adiyiah,Dominic Adiyiah,SOCCER PLAYER,slug_exacto
P-17027,Sammy,Adjei,1980-09-01,Q317001,2841989,Sammy_Adjei,Sammy Adjei,SOCCER PLAYER,slug_exacto
P-47010,not applicable,Ado,1946-07-04,Q2447165,6498749,Ado_(footballer),Ado,SOCCER PLAYER,slug_exacto
P-67189,Albert,Adomah,1987-12-13,Q2673319,15179510,Albert_Adomah,Albert Adomah,SOCCER PLAYER,slug_exacto
P-20372,not applicable,Adriano,1982-02-17,Q170452,1142467,"Adriano_(footballer,_born_1982)",Adriano,SOCCER PLAYER,slug_exacto
P-47833,Luis,Advíncula,1990-03-02,Q2655086,28714135,Luis_Advíncula,Luis Advíncula,SOCCER PLAYER,slug_exacto
P-32222,Michel,Aebischer,1997-01-06,Q27469951,51987207,Michel_Aebischer,Michel Aebischer,SOCCER PLAYER,slug_exacto
P-80329,Georges,Aeby,1910-09-10,,,,,,sin_match
P-40938,Paul,Aeby,1910-09-10,,,,,,sin_match
P-81141,Ibrahim,Afellay,1986-04-02,Q165014,3159724,Ibrahim_Afellay,Ibrahim Afellay,SOCCER PLAYER,slug_exacto
P-05368,Harrison,Afful,1986-06-24,Q577537,15410978,Harrison_Afful,Harrison Afful,SOCCER PLAYER,slug_exacto
P-47319,Akram,Afif,1996-11-18,Q19882804,47722445,Akram_Afif,Akram Afif,SOCCER PLAYER,slug_exacto
P-55727,Rabiu,Afolabi,1980-04-18,Q147124,5932544,Rabiu_Afolabi,Rabiu Afolabi,SOCCER PLAYER,slug_exacto
P-76618,Valentin,Afonin,1939-12-22,Q2635156,9991732,Valentin_Afonin,Valentin Afonin,SOCCER PLAYER,slug_exacto
P-00279,not applicable,Afonsinho,1914-03-08,Q383383,6053453,Afonsinho,Afonsinho,SOCCER PLAYER,api_qid
P-13639,Daniel,Afriyie,2001-06-26,Q105564673,66799482,Daniel_Afriyie,Daniel Afriyie,SOCCER PLAYER,slug_exacto
P-30416,Kossi,Agassa,1978-07-02,Q245969,5166541,Kossi_Agassa,Kossi Agassa,SOCCER PLAYER,slug_exacto
P-53035,Chigozie,Agbim,1984-11-28,Q3177055,36084780,Chigozie_Agbim,Chigozie Agbim,SOCCER PLAYER,slug_exacto
P-68499,Hans,Agbo,1967-09-26,,,,,,sin_match
P-08310,Kuami,Agboh,1977-12-28,Q675802,5167552,Kuami_Agboh,Kuami Agboh,SOCCER PLAYER,slug_exacto
P-77276,Wilfred,Agbonavbare,1966-10-05,Q2575886,9390144,Wilfred_Agbonavbare,Wilfred Agbonavbare,SOCCER PLAYER,slug_exacto
P-52264,Daniel,Agger,1984-12-12,Q184205,3145335,Daniel_Agger,Daniel Agger,SOCCER PLAYER,slug_exacto
P-74228,Julius,Aghahowa,1982-02-12,Q144161,2868757,Julius_Aghahowa,Julius Aghahowa,SOCCER PLAYER,slug_exacto
P-72797,Jeff,Agoos,1968-05-02,Q984639,866438,Jeff_Agoos,Jeff Agoos,SOCCER PLAYER,slug_exacto
P-44105,Hamadi,Agrebi,1951-03-20,Q2642131,33287077,Mohamed_Ben_Rehaiem,Mohamed Ben Rehaiem,SOCCER PLAYER,slug_exacto
P-25342,Alloysius,Agu,1967-07-12,Q2309641,2868468,Alloysius_Agu,Alloysius Agu,SOCCER PLAYER,slug_exacto
P-77856,Rui,Águas,1960-04-28,,,,,,sin_match
P-47490,Nayef,Aguerd,1996-03-30,Q28872567,58269010,Nayef_Aguerd,Nayef Aguerd,SOCCER PLAYER,slug_exacto
P-17292,Juan Bautista,Agüero,1935-06-24,Q325802,18797365,Juan_Bautista_Agüero,Juan Bautista Agüero,SOCCER PLAYER,slug_exacto
P-36870,Sergio,Agüero,1988-06-02,Q119562,3406259,Sergio_Agüero,Sergio Agüero,SOCCER PLAYER,slug_exacto
P-76705,Abel,Aguilar,1985-01-06,Q318416,3081890,Abel_Aguilar,Abel Aguilar,SOCCER PLAYER,slug_exacto
P-01835,Paul,Aguilar,1986-03-06,Q315692,10063437,Paul_Aguilar,Paul Aguilar,SOCCER PLAYER,slug_exacto
P-43460,Samuel,Aguilar,1933-03-16,,,,,,sin_match
P-44957,Brandon,Aguilera,2003-06-28,Q96116141,64204841,Brandon_Aguilera,Brandon Aguilera,SOCCER PLAYER,slug_exacto
P-57189,Carlos,Aguilera,1964-09-21,Q714537,6052405,Carlos_Aguilera_(Uruguayan_footballer),Carlos Aguilera,SOCCER PLAYER,slug_exacto
P-08700,Carlos,Aguilera,1969-05-22,Q616370,6722788,Carlos_Aguilera_(Spanish_footballer),Carlos Aguilera,SOCCER PLAYER,slug_exacto
P-11212,Edgar,Aguilera,1975-07-28,,,,,,sin_match
P-95800,Juan,Aguilera,1903-10-23,Q1109617,31492178,Juan_Aguilera_(Chilean_footballer),Juan Aguilera,SOCCER PLAYER,slug_exacto
P-17727,Oscar,Aguilera,1935-03-11,,,,,,sin_match
P-23101,Álex,Aguinaga,1968-07-09,Q250553,11565873,Álex_Aguinaga,Álex Aguinaga,SOCCER PLAYER,slug_exacto
P-33814,Francisco,Aguirre,not available,Q2525511,18605605,Francisco_Aguirre_(Paraguayan_footballer),Francisco Aguirre,SOCCER PLAYER,slug_exacto
P-59792,Javier,Aguirre,1958-12-01,Q194311,2533321,Javier_Aguirre,Javier Aguirre,COACH,slug_exacto
P-79898,Daniel,Agyei,1989-11-10,Q508255,20156847,Daniel_Agyei,Daniel Agyei,SOCCER PLAYER,slug_exacto
P-89904,Emmanuel,Agyemang-Badu,1990-12-02,Q511220,42980969,Emmanuel_Agyemang-Badu,Emmanuel Agyemang-Badu,SOCCER PLAYER,slug_exacto
P-30429,Thomas,Ahlström,1952-07-17,Q1380274,12860910,Thomas_Ahlström,Thomas Ahlström,SOCCER PLAYER,slug_exacto
P-38468,Olle,Åhlund,1920-08-22,Q634133,21719065,Olle_Åhlund,Olle Åhlund,SOCCER PLAYER,slug_exacto
P-37948,Rahman,Ahmadi,1980-07-30,Q7283479,18369619,Rahman_Ahmadi,Rahman Ahmadi,SOCCER PLAYER,slug_exacto
P-91705,Ronald,Åhman,1957-01-31,,,,,,sin_match
P-33804,Homam,Ahmed,1999-08-25,Q64364375,62605943,Homam_Ahmed,Homam Ahmed,SOCCER PLAYER,slug_exacto
P-27915,Issah,Ahmed,1982-05-24,Q1343548,5315908,Issah_Gabriel_Ahmed,Issah Gabriel Ahmed,SOCCER PLAYER,slug_exacto
P-26616,Jung-hwan,Ahn,1976-01-27,Q313968,1057369,Ahn_Jung-hwan,Ahn Jung-hwan,SOCCER PLAYER,slug_exacto
P-29011,Stephen,Ahorlu,1988-09-05,Q552840,27374986,Stephen_Ahorlu,Stephen Ahorlu,SOCCER PLAYER,slug_exacto
P-34039,Sergio,Ahumada,1948-10-02,Q2411224,16064371,Sergio_Ahumada,Sergio Ahumada,SOCCER PLAYER,slug_exacto
P-09991,Joseph,Aidoo,1995-09-29,Q21042828,49238445,Joseph_Aidoo_(Ghanaian_footballer),Joseph Aidoo,SOCCER PLAYER,slug_exacto
P-22801,Ernst,Aigner,1966-10-31,,,,,,sin_match
P-25906,Pablo,Aimar,1979-11-03,Q130215,1082339,Pablo_Aimar,Pablo Aimar,SOCCER PLAYER,slug_exacto
P-35569,Jock,Aird,1926-02-18,,,,,,sin_match
P-66972,Marco,Airosa,1984-08-06,Q682627,5181378,Marco_Airosa,Marco Airosa,SOCCER PLAYER,slug_exacto
P-58822,Youssef,Aït Bennasser,1996-07-07,Q21620694,48529109,Youssef_Aït_Bennasser,Youssef Aït Bennasser,SOCCER PLAYER,slug_exacto
P-08096,Roy,Aitken,1958-11-24,Q713494,1317776,Roy_Aitken,Roy Aitken,SOCCER PLAYER,slug_exacto
P-73175,Dele,Aiyenugba,1983-11-20,Q143192,8929346,Dele_Aiyenugba,Dele Aiyenugba,SOCCER PLAYER,slug_exacto
P-48722,Kanga,Akalé,1981-03-07,Q47095,5194646,Kanga_Akalé,Kanga Akalé,SOCCER PLAYER,slug_exacto
P-23925,Manuel,Akanji,1995-07-19,Q19938984,48245714,Manuel_Akanji,Manuel Akanji,SOCCER PLAYER,slug_exacto
P-64438,Nathan,Aké,1995-02-18,Q1755683,38030731,Nathan_Aké,Nathan Aké,SOCCER PLAYER,slug_exacto
P-41399,Kaçmaz,Akgün,1935-02-19,Q2479841,33262310,Akgün_Kaçmaz,Akgün Kaçmaz,SOCCER PLAYER,api_qid
P-47488,Mohamed,Akid,1949-07-05,Q1942737,33287089,Mohamed_Akid,Mohamed Akid,SOCCER PLAYER,slug_exacto
P-95453,Igor,Akinfeev,1986-04-08,Q203002,3500976,Igor_Akinfeev,Igor Akinfeev,SOCCER PLAYER,slug_exacto
P-34956,Yutaka,Akita,1970-08-06,Q496046,1476778,Yutaka_Akita,Yutaka Akita,SOCCER PLAYER,slug_exacto
P-01401,Eric,Akoto,1980-07-20,Q287867,5245255,Eric_Akoto,Eric Akoto,SOCCER PLAYER,slug_exacto
P-42905,Jean-Daniel,Akpa Akpro,1992-10-11,Q60445,34314894,Jean-Daniel_Akpa-Akpro,Jean-Daniel Akpa-Akpro,SOCCER PLAYER,api_qid
P-83020,Daniel,Akpeyi,1986-03-08,Q5216374,20025999,Daniel_Akpeyi,Daniel Akpeyi,SOCCER PLAYER,slug_exacto
P-07482,not applicable,Akwá,1977-05-30,Q424407,3840078,Akwá,Akwá,SOCCER PLAYER,slug_exacto
P-48288,Benedict,Akwuegbu,1974-11-03,Q144684,6054501,Benedict_Akwuegbu,Benedict Akwuegbu,SOCCER PLAYER,slug_exacto
P-79130,Fatih,Akyel,1977-12-26,Q614470,3779886,Fatih_Akyel,Fatih Akyel,COACH,slug_exacto
P-76864,Nawaf,Al-Abed,1990-01-26,Q944118,25040366,Nawaf_Al_Abed,Nawaf Al Abed,SOCCER PLAYER,api_qid
P-45581,Abdulrahman,Al-Aboud,1995-06-01,Q28923551,53572925,Abdulrahman_Al-Aboud,Abdulrahman Al-Aboud,SOCCER PLAYER,slug_exacto
P-12335,Abdulelah,Al-Amri,1997-01-15,Q30308980,59483432,Abdulelah_Al-Amri,Abdulelah Al-Amri,SOCCER PLAYER,slug_exacto
P-22789,Awad,Al-Anazi,1968-09-24,Q3631289,33196946,Awad_Al-Anazi,Awad Al-Anazi,SOCCER PLAYER,slug_exacto
P-88607,Abdulaziz,Al-Anberi,1954-01-03,,,,,,sin_match
P-45367,Tisir,Al-Antaif,1974-02-16,Q2418006,6867327,Tisir_Al-Antaif,Tisir Al-Antaif,SOCCER PLAYER,slug_exacto
P-67035,Nawaf,Al-Aqidi,2000-05-10,Q82251502,62834298,Nawaf_Al-Aqidi,Nawaf Al-Aqidi,SOCCER PLAYER,slug_exacto
P-58952,Ahmed,Al-Bahri,1980-09-18,Q400901,5317538,Ahmed_Al-Bahri,Ahmed Al-Bahri,SOCCER PLAYER,slug_exacto
P-23379,Fahad,Al-Bishi,1965-09-10,Q1381515,2271250,Fahad_Al-Bishi,Fahad Al-Bishi,SOCCER PLAYER,slug_exacto
P-60833,Mohamed,Al-Bishi,1987-05-03,Q1342035,7663727,Mohamed_Eid,Mohamed Eid,SOCCER PLAYER,api_qid
P-94422,Mohammed,Al-Breik,1992-09-15,Q21344522,48462350,Mohammed_Al-Breik,Mohammed Al-Breik,SOCCER PLAYER,slug_exacto
P-87284,Ali,Al-Bulaihi,1989-11-21,Q22673980,49371537,Ali_Al-Bulaihi,Ali Al-Bulaihi,SOCCER PLAYER,slug_exacto
P-51432,Abdulaziz,Al-Buloushi,1962-12-04,,,,,,sin_match
P-49203,Abdullah,Al-Buloushi,1960-02-16,Q1764345,15572870,Abdullah_Al-Buloushi,Abdullah Al-Buloushi,SOCCER PLAYER,slug_exacto
P-89845,Firas,Al-Buraikan,2000-05-14,Q30082508,58904489,Firas_Al-Buraikan,Firas Al-Buraikan,SOCCER PLAYER,slug_exacto
P-33410,Faisal,Al-Dakhil,1957-08-13,Q522811,3399822,Faisal_Al-Dakhil,Faisal Al-Dakhil,SOCCER PLAYER,slug_exacto
P-77098,Saleh,Al-Dawod,1968-09-24,,,,,,sin_match
P-10907,Nasser,Al-Dawsari,1998-12-19,Q47074246,56219450,Nasser_Al-Dawsari,Nasser Al-Dawsari,SOCCER PLAYER,slug_exacto
P-70583,Salem,Al-Dawsari,1991-08-19,Q3945419,36343956,Salem_Al-Dawsari,Salem Al-Dawsari,SOCCER PLAYER,slug_exacto
P-12996,Mohamed,Al-Deayea,1972-08-02,Q312179,2557489,Mohamed_Al-Deayea,Mohamed Al-Deayea,SOCCER PLAYER,slug_exacto
P-53448,Ahmed,Al-Dokhi,1976-10-25,Q400878,5317653,Ahmed_Dokhi,Ahmed Dokhi,SOCCER PLAYER,slug_exacto
P-60332,Abdullah,Al-Dosari,1969-11-01,Q3603403,33196862,Abdullah_Al-Dosari,Abdullah Al-Dosari,SOCCER PLAYER,slug_exacto
P-17941,Khamis,Al-Dosari,1973-09-08,Q2735036,6094614,Khamis_Al-Owairan,Khamis Al-Owairan,SOCCER PLAYER,api_qid
P-85019,Obeid,Al-Dosari,1975-10-02,Q1381051,6093499,Obeid_Al-Dosari,Obeid Al-Dosari,SOCCER PLAYER,slug_exacto
P-93688,Salman,Al-Faraj,1989-08-01,Q7405407,24431393,Salman_Al-Faraj,Salman Al-Faraj,SOCCER PLAYER,slug_exacto
P-00585,Omar,Al-Ghamdi,1979-04-11,Q710203,5317499,Omar_Al-Ghamdi,Omar Al-Ghamdi,SOCCER PLAYER,slug_exacto
P-90719,Nassir,Al-Ghanim,1961-04-04,,,,,,sin_match
P-06789,Sultan,Al-Ghannam,1994-05-06,Q22541620,50540374,Sultan_Al-Ghannam,Sultan Al-Ghannam,SOCCER PLAYER,slug_exacto
P-39267,Fahad,Al-Ghesheyan,1973-08-01,Q2440359,6678217,Fahad_Al-Ghesheyan,Fahad Al-Ghesheyan,SOCCER PLAYER,slug_exacto
P-17103,Abdulrahman,Al-Haddad,1966-03-23,,,,,,sin_match
P-32314,Muayad,Al-Haddad,1960-01-01,,,,,,sin_match
P-93316,Naif,Al-Hadhrami,2001-07-18,Q85202073,71870179,Naif_Al-Hadhrami,Naif Al-Hadhrami,SOCCER PLAYER,slug_exacto
P-43921,Salem,Al-Hajri,1996-04-10,Q24006658,50341747,Salem_Al-Hajri,Salem Al-Hajri,SOCCER PLAYER,slug_exacto
P-81321,Ibrahim,Al-Harbi,1975-07-10,,,,,,sin_match
P-91707,Mansoor,Al-Harbi,1987-10-19,Q3844881,33169523,Mansoor_Al-Harbi,Mansoor Al-Harbi,SOCCER PLAYER,api_qid
P-16522,Mohsin,Al-Harthi,1976-07-17,Q2602724,6093448,Mohsin_al-Harthi,Mohsin al-Harthi,SOCCER PLAYER,slug_exacto
P-88984,Saad,Al-Harthi,1984-02-03,Q531541,3899274,Saad_Al-Harthi,Saad Al-Harthi,SOCCER PLAYER,slug_exacto
P-08051,Sami,Al-Hashash,1959-09-15,,,,,,sin_match
P-45413,Ali,Al-Hassan,1997-03-04,Q52825479,63271937,Ali_Al-Hassan,Ali Al-Hassan,SOCCER PLAYER,slug_exacto
P-38732,Hassan,Al-Haydos,1990-12-11,Q5679556,14568717,Hassan_Al-Haydos,Hassan Al-Haydos,SOCCER PLAYER,slug_exacto
P-36914,Ibrahim,Al-Helwah,1972-08-18,,,,,,sin_match
P-90628,Saad,Al-Houti,1954-05-24,,,,,,sin_match
P-88041,Sami,Al-Jaber,1972-12-11,Q299555,2944786,Sami_Al-Jaber,Sami Al-Jaber,SOCCER PLAYER,slug_exacto
P-55518,Mohammed,Al-Jahani,1974-09-28,Q973201,6094219,Mohammed_Sheliah,Mohammed Sheliah,SOCCER PLAYER,api_qid
P-28313,Abdulaziz,Al-Janoubi,1974-07-21,,,,,,sin_match
P-68738,Waleed,Al-Jasem,1959-11-18,,,,,,sin_match
P-66636,Taisir,Al-Jassim,1984-07-25,Q2083466,12402576,Taisir_Al-Jassim,Taisir Al-Jassim,SOCCER PLAYER,slug_exacto
P-26868,Abdullah,Al-Jumaan,1977-11-10,Q317745,6093371,Abdullah_Jumaan_Al-Dosari,Abdullah Jumaan Al-Dosari,SOCCER PLAYER,api_qid
P-82537,Abdullah,Al-Khaibari,1996-08-16,Q28716544,53174787,Abdullah_Al-Khaibari,Abdullah Al-Khaibari,SOCCER PLAYER,slug_exacto
